qa_id,key,kind,score
training_3539,A,letter,-0.0004626634181477
training_3539,B,letter,-9.016087532043455
training_3539,C,letter,-8.250462532043457
training_3540,A,letter,-0.0656016170978546
training_3540,B,letter,-3.940601587295532
training_3540,C,letter,-3.268726587295532
training_3541,A,letter,-9.37560749053955
training_3541,B,letter,-0.0006071869283914
training_3541,C,letter,-7.922482013702393
training_3553,A,letter,-5.024154186248779
training_3553,B,letter,-7.508529186248779
training_3553,C,letter,-0.0085291871801018
training_3557,A,letter,-0.0191466249525547
training_3557,B,letter,-5.64414644241333
training_3557,C,letter,-4.25352144241333
training_3558,A,letter,-0.0133764930069446
training_3558,B,letter,-4.763376712799072
training_3558,C,letter,-5.732126712799072
training_3561,A,letter,-2.011798858642578
training_3561,B,letter,-0.5117988586425781
training_3561,C,letter,-1.339923858642578
training_3566,A,letter,-0.0004898302140645
training_3566,B,letter,-8.969240188598633
training_3566,C,letter,-8.141115188598633
training_3574,A,letter,-0.7039687633514404
training_3574,B,letter,-2.1570937633514404
training_3574,C,letter,-0.9539687633514404
training_3577,A,letter,-10.01795768737793
training_3577,B,letter,-0.0023328252136707
training_3577,C,letter,-6.14295768737793
training_3580,A,letter,-8.205913543701172
training_3580,B,letter,-6.11216402053833
training_3580,C,letter,-0.0027888235636055
training_3581,A,letter,-0.0007204797584563
training_3581,B,letter,-7.969470500946045
training_3581,C,letter,-8.328845024108887
training_3582,A,letter,-0.0009382136631757
training_3582,B,letter,-8.329063415527344
training_3582,C,letter,-7.610313415527344
training_3965,A,letter,-1.9592716693878172
training_3965,B,letter,-2.3655216693878174
training_3965,C,letter,-0.5998967289924622
training_3965,D,letter,-1.5373966693878174
training_3586,A,letter,-4.616801738739014
training_3586,B,letter,-4.554301738739014
training_3586,C,letter,-0.0230517387390136
training_3966,A,letter,-3.63725471496582
training_3966,B,letter,-5.76225471496582
training_3966,C,letter,-3.5903797149658203
training_3966,D,letter,-0.0591296032071113
training_3587,A,letter,-6.614041328430176
training_3587,B,letter,-6.082791328430176
training_3587,C,letter,-0.004666153807193
training_3967,A,letter,-4.013519287109375
training_3967,B,letter,-0.4666440486907959
training_3967,C,letter,-1.716644048690796
training_3967,D,letter,-1.747894048690796
training_3591,A,letter,-3.9890003204345694
training_3591,B,letter,-7.86400032043457
training_3591,C,letter,-0.0202503614127635
training_3971,A,letter,-2.0739450454711914
training_3971,B,letter,-0.214570090174675
training_3971,C,letter,-4.933320045471191
training_3971,D,letter,-2.8239450454711914
training_3592,A,letter,-1.3514964580535889
training_3592,B,letter,-6.67962121963501
training_3592,C,letter,-0.3046214282512665
